str,en_US,fr_FR,de_DE,tr_TR,
prayer time,Prayer Time,Temps De Prière,Gebetszeit,Namaz Vakti,
qibla,Qibla,Qibla,Qibla,Kıble,
quran,Quran,Coran,Koran,Kuran,
fajr,Fajr,Fajr,Fajr,İmsak,
dhuhr,Dhuhr,Dhuhr,Dhuhr,Öğle,
asr,Asr,Asr,Asr,İkindi,
maghrib,Maghrib,Maghréb,Maghrib,Akşam,
isha,Isha,Isha,Ischa,Yatsı,
jummah,Jummah,Jumma,Juma,Cuma,
choose adhan,Choose Adhan,Choisissez Adhan,Wählen Sie Adhan,Ezan seç,
selectPrayersForAlarms,Select the prayer timings that you want to hear the Adhan for.,Sélectionnez les horaires de prière pour lesquels vous souhaitez entendre l'Adhan.,"Wählen Sie die Gebetszeiten aus, zu denen Sie den Adhan hören möchten.",Ezanı duymak istediğiniz namaz vakitlerini seçin.,
next,Next,Prochain,Nächste,Sonraki,
countdown alert,Countdown Alert,Alerte de compte à rebours,Countdown-Alarm,Geri Sayım Uyarısı,
selectCountdownText,Select the number of minutes before the next prayer time that you want an alert for.,Sélectionnez le nombre de minutes avant la prochaine heure de prière pour laquelle vous souhaitez une alerte.,"Wählen Sie die Anzahl der Minuten vor der nächsten Gebetszeit aus, für die Sie benachrichtigt werden möchten.",Bir sonraki namaz vaktinden önce uyarı almak istediğiniz dakika sayısını seçin.,
choose alert,Choose Alert,Choisissez Alerte,Wählen Sie Benachrichtigung,Uyarı Seç,
skip this step,Skip This Step,Passer cette étape,Überspringe diesen Schritt,Bu adımı atla,
devices,Devices,Dispositifs,Geräte,cihazlar,
connectDeviceText,Tap on the devices that you would like to connect to the app.,Appuyez sur les appareils que vous souhaitez connecter à l'application.,"Tippen Sie auf die Geräte, die Sie mit der App verbinden möchten.",Uygulamaya bağlamak istediğiniz cihazlara dokunun.,
complete setup,Complete Setup,Configuration complète,Komplette Einrichtung,Kurulumu Tamamla,
could not fetch location,Could not fetch location,Impossible de récupérer la position,Standort konnte nicht abgerufen werden,Konum getirilemedi,
set your location,Set Your Location,Définir votre position,Setze deinen Standpunkt,Konumunuzu Ayarlayın,
enterLocationText,Enter your exact location for the most accurate Prayer Times.,Entrez votre emplacement exact pour les heures de prière les plus précises.,"Geben Sie Ihren genauen Standort ein, um die genauesten Gebetszeiten zu erhalten.",En doğru Namaz Vakitleri için tam konumunuzu girin.,
auto detect location,Auto Detect Location,Auto Detect Location,Auto Detect Location,Auto Detect Location,
save location,Save Location,Enregistrer l'emplacement,Sicherer Ort,Konumu kaydet,
find your location,Find your location,Trouvez votre position,Finden Sie Ihren Standort,Konumunuzu bulun,
go back,Go Back,Retourner,Geh zurück,Geri dön,
select organisation,Select organisation,Sélectionnez l'organisation,Organisation auswählen,Kuruluş seçin,
select your madzhab,Select your Madzhab,Sélectionnez votre Madzhab,Wählen Sie Ihre Madschab aus,Medzhab'ınızı seçin,
prayer time calculation,Prayer Time Calculation,Calcul du temps de prière,Berechnung der Gebetszeit,Namaz Vakti Hesaplama,
remote control,Remote Control,Télécommande,Fernbedienung,Uzaktan kumanda,
disconnectedStateButtonText,"Even without an internet connection, you can play the Quran on your HomeMasjid by using your phone as a remote control.","Même sans connexion Internet, vous pouvez lire le Coran sur votre HomeMasjid en utilisant votre téléphone comme télécommande.","Auch ohne Internetverbindung können Sie den Koran auf Ihrer HomeMasjid abspielen, indem Sie Ihr Telefon als Fernbedienung verwenden.",İnternet bağlantınız olmasa bile telefonunuzu uzaktan kumanda olarak kullanarak Ev Mescidi'nizde Kuran-ı Kerim'i oynatabilirsiniz.,
start remote control,Start Remote Control,Démarrer la télécommande,Starten Sie die Fernbedienung,Uzaktan Kumandayı Başlat,
connecting…,Connecting…,De liaison…,Verbinden…,Bağlanıyor…,
turnOnDeviceMessage,Make sure your HomeMasjid is switched on and in range,Assurez-vous que votre HomeMasjid est allumé et à portée,"Stellen Sie sicher, dass Ihr HomeMasjid eingeschaltet und in Reichweite ist",HomeMasjid'inizin açık ve kapsama alanında olduğundan emin olun,
connected!,Connected!,Lié!,In Verbindung gebracht!,bağlandı!,
connectionSuccessDescription,You can now use your phone as a remote control for this device.,Vous pouvez maintenant utiliser votre téléphone comme télécommande pour cet appareil.,Sie können Ihr Telefon jetzt als Fernbedienung für dieses Gerät verwenden.,Artık telefonunuzu bu cihaz için uzaktan kumanda olarak kullanabilirsiniz.,
let’s go,LET’S GO,ALLONS-Y,LASS UNS GEHEN,HADİ GİDELİM,
location,Location,emplacement,Lage,yer,
calculation method,Calculation Method,Méthode de calcul,Rechenmethode,hesaplama yöntemi,
adhan,Adhan,adhan,Adhan,ezan,
countdown to adhan,Countdown to Adhan,compte à rebours pour l'adhan,Countdown bis Adhan,ezan için geri sayım,
select surah,Select Surah,sélectionner la sourate,Sure auswählen,sure seç,
quran recitation speed,Quran Recitation Speed,vitesse de récitation du coran,Koran-Rezitationsgeschwindigkeit,kuran okuma hızı,
quran reciter,Quran Reciter,récitant du coran,Koran-Rezitator,kuran okuyucu,
language,Language,Langue,Sprache,dil,
remote,Remote,télécommande,Fernbedienung,uzak,
automatic,Automatic,automatique,automatisch,otomatik,
settings,Settings,réglages,die Einstellungen,ayarlar,
